title,subject,interal_id,url,id_number,description
Two-variable linear inequalities,Algebra I,x4bd7e256,https://www.khanacademy.org/math/algebra/two-variable-linear-inequalities,two-variable-linear-inequalities,In this topic  we study inequalities like x+2y>5 and graph them. This helps us see their solutions. We also explore systems of inequalities (multiple inequalities at the same time) and use them to describe real-world situations.
Absolute value & piecewise functions,Algebra I,x815a4357,https://www.khanacademy.org/math/algebra/absolute-value-equations-functions,absolute-value-equations-functions,Learn how to solve absolute value equations and how to graph absolute value functions.
Expressions with rational exponents and radicals,Algebra I,x24340af5,https://www.khanacademy.org/math/algebra/rational-exponents-and-radicals,rational-exponents-and-radicals,Learn about expressions with rational exponents like x^(2/3)  about radical expressions like √(2t^5)  and about the relationship between these two forms of representation. Learn how to evaluate and simplify such expression.
Introduction to exponential functions,Algebra I,xd1681a90,https://www.khanacademy.org/math/algebra/introduction-to-exponential-functions,introduction-to-exponential-functions,Learn how to construct  analyze  graph  and interpret basic exponential functions of the form f(x)=a*r^x.
Introduction to polynomials,Algebra I,x474ee3e7,https://www.khanacademy.org/math/algebra/introduction-to-polynomial-expressions,introduction-to-polynomial-expressions,Learn how to add  subtract  and multiply polynomial expressions. For example  write (2x+3)(x-1) as 2x²+x-3.
Polynomial factorization,Algebra I,x5b01e065,https://www.khanacademy.org/math/algebra/polynomial-factorization,polynomial-factorization,Learn how to write polynomial expressions as the product of linear factors. For example  write x^2+3x+2 as (x+1)(x+2).
Quadratic equations and functions,Algebra I,x46068850,https://www.khanacademy.org/math/algebra/quadratics,quadratics,Learn how to solve quadratic equations  and how to analyze and graph quadratic functions.
Rational and irrational numbers,Algebra I,xdd7aa21f,https://www.khanacademy.org/math/algebra/rational-and-irrational-numbers,rational-and-irrational-numbers,Learn about irrational numbers and how to identify them.
Geometry foundations,High school geometry,x39dc0a7b,https://www.khanacademy.org/math/geometry/hs-geo-foundations,hs-geo-foundations,Review your knowledge about angles  triangles  quadrilaterals  and area.
Transformations,High school geometry,xc244bcf0,https://www.khanacademy.org/math/geometry/hs-geo-transformations,hs-geo-transformations,In this topic you will learn about the most useful math concept for creating video game graphics: geometric transformations  specifically translations  rotations  reflections  and dilations.  You will learn how to perform the transformations  and how to map one figure into another using these transformations.
Congruence,High school geometry,x1d999dce,https://www.khanacademy.org/math/geometry/hs-geo-congruence,hs-geo-congruence,Learn what it means for two figures to be congruent  and how to determine whether two figures are congruent or not. Use this immensely important concept to prove various geometric theorems about triangles and parallelograms.
Similarity,High school geometry,x4192cc77,https://www.khanacademy.org/math/geometry/hs-geo-similarity,hs-geo-similarity,Learn what it means for two figures to be similar  and how to determine whether two figures are similar or not. Use this concept to prove geometric theorems and solve some problems with polygons.
Right triangles & trigonometry,High school geometry,x7597fbbe,https://www.khanacademy.org/math/geometry/hs-geo-trig,hs-geo-trig,Triangles are not always right (although they are never wrong)  but when they are it opens up an exciting world of possibilities.  Not only are right triangles cool in their own right (pun intended)  they are the basis of very important ideas in analytic geometry (the distance between two points in space) and trigonometry.
Solid geometry,High school geometry,x9e6f6ed7,https://www.khanacademy.org/math/geometry/hs-geo-solids,hs-geo-solids,Extend your knowledge about two-dimensional shapes to three dimensions!
Analytic geometry,High school geometry,xaa176d24,https://www.khanacademy.org/math/geometry/hs-geo-analytic-geometry,hs-geo-analytic-geometry,In analytic geometry  also known as coordinate geometry  we think about geometric objects on the coordinate plane. For example  we can see that opposite sides of a parallelogram are parallel by writing a linear equation for each side and seeing that the slopes are the same.
Circles,High school geometry,x735339fa,https://www.khanacademy.org/math/geometry/hs-geo-circles,hs-geo-circles,Explore  prove  and apply important properties of circles that have to do with things like arc length  radians  inscribed angles  and tangents.
Trigonometry with right triangles,Trigonometry,x74f9f730,https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles,trigonometry-right-triangles,Learn the basics of trigonometry: What are sine  cosine  and tangent? How can we use them to solve for unknown sides and angles in right triangles?
Trigonometry with general triangles,Trigonometry,x3f4bb451,https://www.khanacademy.org/math/trigonometry/trig-with-general-triangles,trig-with-general-triangles,Learn how to use trigonometry in order to find missing sides and angles in any triangle.
The unit circle definition of sine cosine and tangent,Trigonometry,x36c957e4,https://www.khanacademy.org/math/trigonometry/unit-circle-trig-func,unit-circle-trig-func,Learn how the trigonometric ratios are extended to all real numbers using algebra. Start solving simple problems that involve this new definition of the trigonometric functions.
Graphs of trigonometric functions,Trigonometry,xb1166488,https://www.khanacademy.org/math/trigonometry/trig-function-graphs,trig-function-graphs,Learn how to graph trigonometric functions and how to interpret those graphs. Learn how to construct trigonometric functions from their graphs or other features.
Trigonometric equations and identities,Trigonometry,x6c759222,https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities,trig-equations-and-identities,Learn how to solve trigonometric equations and how to use trigonometric identities to solve various problems.
Trigonometric equations and identities,Precalculus,xb7335d47,https://www.khanacademy.org/math/precalculus/trig-equations-and-identities-precalc,trig-equations-and-identities-precalc,Learn how to solve trigonometric equations and how to use trigonometric identities to solve various problems.
Conic sections,Precalculus,xb61c639c,https://www.khanacademy.org/math/precalculus/conics-precalc,conics-precalc,Learn about the four conic sections and their equations: Circle  Ellipse  Parabola  and Hyperbola.
Vectors,Precalculus,x8dd62d07,https://www.khanacademy.org/math/precalculus/vectors-precalc,vectors-precalc,Learn what vectors are and how they can be used to model real-world situations. Perform various operations with vectors like adding  subtracting  scaling  conversion between rectangular to polar coordinates  etc.
Matrices,Precalculus,x6db71967,https://www.khanacademy.org/math/precalculus/precalc-matrices,precalc-matrices,Learn what matrices are and about their various uses: solving systems of equations  transforming shapes and vectors  and representing real-world situations. Learn how to add  subtract  and multiply matrices  and find the inverses of matrices.
Imaginary and complex numbers,Precalculus,x1dd60c20,https://www.khanacademy.org/math/precalculus/imaginary-and-complex-numbers,imaginary-and-complex-numbers,Use your imagination and complexity (?) and dive into the world of complex numbers. Add  subtract  multiply  & divide complex numbers. Plot them on the complex plane and convert between rectangular and polar forms.
Probability and combinatorics,Precalculus,x1af1e2a6,https://www.khanacademy.org/math/precalculus/prob-comb,prob-comb,Basics of probability and combinatorics
Sequences series and induction,Precalculus,xef1dc391,https://www.khanacademy.org/math/precalculus/seq-induction,seq-induction,An assortment of concepts in math that help us deal with sequences and proofs.
Displaying and describing data,Statistics and probability,x375234a0,https://api.khanacademy.org/math/statistics-probability/displaying-describing-data,displaying-describing-data,One of the first things we do in statistics is try to understand sets of data. This involves plotting the data in different ways and summarizing what we see with measures of center (like mean and median) and measures of spread (like range and standard deviation). This topic focuses on concepts that are often referred to as "descriptive statistics".
Modeling distributions of data,Statistics and probability,x00800084,https://api.khanacademy.org/math/statistics-probability/modeling-distributions-of-data,modeling-distributions-of-data,The normal distribution is the most commonly used model in all of statistics. Learn how to measure position using z-scores and find what percent of data falls where in a normal distribution.
Describing relationships in quantitative data,Statistics and probability,x6900e7ff,https://api.khanacademy.org/math/statistics-probability/describing-relationships-quantitative-data,describing-relationships-quantitative-data,If we want to explore a relationship between two quantitative variables  we make a scatterplot of the data. The fun doesn't stop there. We describe pattern  talk about the type of correlation we see  and sometimes fit a line to the data so we can use the pattern to make predictions.
Designing studies,Statistics and probability,xb5daea70,https://api.khanacademy.org/math/statistics-probability/designing-studies,designing-studies,Study design focuses on collecting data properly and making the most valid conclusions we can based on how the data was collected. This topic covers explore samples  surveys  and experiments.
Probability,Statistics and probability,x19ac05e4,https://api.khanacademy.org/math/statistics-probability/probability-library,probability-library,Probability tells us how often some event will happen after many repeated trials. This topic covers theoretical  experimental  compound probability  permutations  combinations  and more!
Random variables,Statistics and probability,x945de217,https://api.khanacademy.org/math/statistics-probability/random-variables-stats-library,random-variables-stats-library,Random variables can be any outcomes from some chance process  like how many heads will occur in a series of 20 flips. We calculate probabilities of random variables and calculate expected value for different types of random variables.
Sampling distributions,Statistics and probability,x263f6b66,https://api.khanacademy.org/math/statistics-probability/sampling-distributions-library,sampling-distributions-library,A sampling distribution shows every possible result a statistic can take in every possible sample from a population and how often each result happens. This topic covers how sample proportions and sample means behave in repeated samples.
Confidence intervals (one sample),Statistics and probability,xd7fec8c9,https://api.khanacademy.org/math/statistics-probability/confidence-intervals-one-sample,confidence-intervals-one-sample,Confidence intervals give us a range of plausible values for some unknown value based on results from a sample. This topic covers confidence intervals for means and proportions.
Significance tests (one sample),Statistics and probability,x9e08eb70,https://api.khanacademy.org/math/statistics-probability/significance-tests-one-sample,significance-tests-one-sample,Significance tests give us a formal process for using sample data to evaluate the likelihood of some claim about a population value. We calculate p-values to see how likely a sample result is to occur by random chance  and we use p-values to make conclusions about hypotheses.
Significance tests and confidence intervals (two samples),Statistics and probability,xc1d3489e,https://api.khanacademy.org/math/statistics-probability/significance-tests-confidence-intervals-two-samples,significance-tests-confidence-intervals-two-samples,Learn how to apply what you know about confidence intervals and significance tests to situations that involve comparing two samples to see if there is a significant difference between the two populations.
Inference for categorical data (chi-square tests),Statistics and probability,x6024afd0,https://api.khanacademy.org/math/statistics-probability/inference-categorical-data-chi-square-tests,inference-categorical-data-chi-square-tests,Chi-square tests are a family of significance tests that give us ways to test hypotheses about distributions of categorical data. This topic covers goodness-of-fit tests to see if sample data fits a hypothesized distribution  and tests for independence between two categorical variables.
Advanced regression (inference and transforming),Statistics and probability,x0465ccc4,https://api.khanacademy.org/math/statistics-probability/advanced-regression-inference-transforming,advanced-regression-inference-transforming,Advanced regression will introduce you to regression methods when data has  a nonlinear pattern.
Analysis of variance (ANOVA),Statistics and probability,x33610417,https://api.khanacademy.org/math/statistics-probability/analysis-of-variance-anova-library,analysis-of-variance-anova-library,Analysis of variance  also called ANOVA  is a collection of methods for comparing multiple means across different groups.
Limits basics,AP Calculus AB,xd6674733,https://api.khanacademy.org/math/ap-calculus-ab/limits-basics-ab,limits-basics-ab,Limits are intuitive  yet elusive. Learn what they are all about and how to find limits of functions from graphs or tables of values. Learn about the difference between one-sided and two-sided limits and how they relate to each other.
Continuity,AP Calculus AB,x2302aafd,https://api.khanacademy.org/math/ap-calculus-ab/continuity-ab,continuity-ab,Continuous functions are  in essence  functions whose graphs can be drawn without lifting up your pen. This may sound simple  but this is in fact a very rich subject. Learn how continuity is defined using limits  and about a main property of all continuous functions -- the Intermediate value theorem.
Limits from equations,AP Calculus AB,x0dd8e952,https://api.khanacademy.org/math/ap-calculus-ab/limits-from-equations-ab,limits-from-equations-ab,Now that we have all the conceptual stuff laid down  we can start have some fun with finding limits of various functions. Some of these limits don't want you to find them so fast  but we're sure you'll get them in the end!
Infinite limits,AP Calculus AB,xd79c7aee,https://api.khanacademy.org/math/ap-calculus-ab/infinite-limits-ab,infinite-limits-ab,Basically  a limit must be at a specific point and have a specific value in order to be defined. Nevertheless  there are two kinds of limits that break these rules. One kind is unbounded limits -- limits that approach ± infinity (you may know them as "vertical asymptotes"). The other kind is limits at infinity -- these limits describe the value a function is approaching as x goes to ± infinity (you may know them as "horizontal asymptotes").
Derivative introduction,AP Calculus AB,x51f8ea83,https://api.khanacademy.org/math/ap-calculus-ab/derivative-introduction-ab,derivative-introduction-ab,Get comfortable with the big idea of differential calculus  the derivative. The derivative of a function has many different interpretations and they are all very useful when dealing with differential calculus problems. This topic covers all of those interpretations  including the formal definition of the derivative and the notion of differentiable functions.
Basic differentiation,AP Calculus AB,x856b5234,https://api.khanacademy.org/math/ap-calculus-ab/basic-differentiation-ab,basic-differentiation-ab,Differentiating functions is not an easy task! Make your first steps in this vast and rich world with some of the most basic differentiation rules  including the Power rule. It will surely make you feel more powerful.
Product quotient & chain rules,AP Calculus AB,x7d61367a,https://api.khanacademy.org/math/ap-calculus-ab/product-quotient-chain-rules-ab,product-quotient-chain-rules-ab,Covered basic differentiation? Great! Now let's take things to the next level. In this topic  you will learn general rules that tell us how to differentiate products of functions  quotients of functions  and composite functions. Anxious to find the derivative of eˣ⋅sin(x²)? You've come to the right place.
Differentiating common functions,AP Calculus AB,xf48853cf,https://api.khanacademy.org/math/ap-calculus-ab/differentiating-common-functions-ab,differentiating-common-functions-ab,Now that you know all the important differentiation rules  let's solve some problems that involve the differentiation of various common functions.
Advanced differentiation,AP Calculus AB,xb4b4c2fa,https://api.khanacademy.org/math/ap-calculus-ab/advanced-differentiation-ab,advanced-differentiation-ab,The chain rule sets the stage for implicit differentiation  which in turn allows us to differentiate inverse functions (and specifically the inverse trigonometric functions). This is really the top of the line when it comes to differentiation.
Analyzing functions with calculus,AP Calculus AB,xfa70e88f,https://api.khanacademy.org/math/ap-calculus-ab/analyzing-functions-with-calculus-ab,analyzing-functions-with-calculus-ab,Let's put all of our differentiation abilities to use  by analyzing the graphs of various functions. As you will see  the derivative and the second derivative of a function can tell us a lot about the function's graph.
Derivative applications,AP Calculus AB,xe97d2562,https://api.khanacademy.org/math/ap-calculus-ab/derivative-applications-ab,derivative-applications-ab,Solve real world problems (and some pretty elaborate mathematical problems) using the power of differential calculus.
Indefinite integrals,AP Calculus AB,x2df2c1b6,https://api.khanacademy.org/math/ap-calculus-ab/indefinite-integrals-ab,indefinite-integrals-ab,If f is the derivative of F  then F is an antiderivative of f. We also call F the "indefinite integral" of f. In other words  indefinite integrals and antiderivatives are  essentially  reverse derivatives. Why differentiate in reverse? Good question! Keep going and you'll find out!
Definite integrals introduction,AP Calculus AB,x3f6287fa,https://api.khanacademy.org/math/ap-calculus-ab/definite-integrals-intro-ab,definite-integrals-intro-ab,Definite integrals are a way to describe the area under a curve. Make introduction with this intriguing concept  along with its elaborate notation and various properties.
Riemann sums,AP Calculus AB,x42e64e4f,https://api.khanacademy.org/math/ap-calculus-ab/riemann-sums-ab,riemann-sums-ab,Riemann sums is the name of a family of methods we can use to approximate the area under a curve. Through Riemann sums we come up with a formal definition for the definite integral.
Fundamental theorem of calculus,AP Calculus AB,xc87e4d40,https://api.khanacademy.org/math/ap-calculus-ab/fundamental-theorem-of-calculus-ab,fundamental-theorem-of-calculus-ab,So you've learned about indefinite integrals and you've learned about definite integrals. Have you wondered what's the connection between these two concepts? You will get all the answers right here. Beware  this is pretty mind-blowing.
Definite integral evaluation,AP Calculus AB,x97c977b4,https://api.khanacademy.org/math/ap-calculus-ab/definite-integral-evaluation-ab,definite-integral-evaluation-ab,Make your first steps in evaluating definite integrals  armed with the Fundamental theorem of calculus.
Integration techniques,AP Calculus AB,xf246e330,https://api.khanacademy.org/math/ap-calculus-ab/integration-techniques-ab,integration-techniques-ab,Some functions don't make it easy to find their integrals  but we are not ones to give up so fast! Learn some advanced tools for integrating the more troublesome functions.
Area & arc length using calculus,AP Calculus AB,x848380de,https://api.khanacademy.org/math/ap-calculus-ab/area-and-arc-length-ab,area-and-arc-length-ab,Become a professional area-under-curve finder! You will also learn here how integrals can be used to find lengths of curves. The tools of calculus are so versatile!
Integration applications,AP Calculus AB,xc9f27401,https://api.khanacademy.org/math/ap-calculus-ab/integration-applications-ab,integration-applications-ab,As with derivatives  solve some real world problems and mathematical problems using the power of integral calculus.
Volume using calculus,AP Calculus AB,x14bd1b9a,https://api.khanacademy.org/math/ap-calculus-ab/volume-using-calculus-ab,volume-using-calculus-ab,Integrals can be used to find 2D measures (area) and 1D measures (lengths). But it can also be used to find 3D measures (volume)! Learn all about it here.
Differential equations,AP Calculus AB,xa7a03a6d,https://api.khanacademy.org/math/ap-calculus-ab/diff-equations-ab,diff-equations-ab,Differential equations are equations that include both a function and its derivative (or higher-order derivatives). For example  y=y' is a differential equation. Learn how to find and represent solutions of basic differential equations.
AP Calculus AB questions,AP Calculus AB,x01ec99db,https://api.khanacademy.org/math/ap-calculus-ab/solved-exams-ab,solved-exams-ab,Many of you are planning on taking the Calculus AB advanced placement exam.  These are example problems taken directly from previous years' exams. Even if you aren't taking the exam  these are very useful problem for making sure you understand your calculus (as always  best to pause the videos and try them yourself before Sal does).
Limits basics,AP Calculus BC,x19e3c2b5,https://www.khanacademy.org/math/ap-calculus-bc/limits-basics-bc,limits-basics-bc,Limits are intuitive  yet elusive. Learn what they are all about and how to find limits of functions from graphs or tables of values. Learn about the difference between one-sided and two-sided limits and how they relate to each other.
Continuity,AP Calculus BC,x95df4a82,https://www.khanacademy.org/math/ap-calculus-bc/continuity-bc,continuity-bc,Continuous functions are  in essence  functions whose graphs can be drawn without lifting up your pen. This may sound simple  but this is in fact a very rich subject. Learn how continuity is defined using limits  and about a main property of all continuous functions -- the Intermediate value theorem.
Limits from equations,AP Calculus BC,x2a1449c4,https://www.khanacademy.org/math/ap-calculus-bc/limits-from-equations-bc,limits-from-equations-bc,Now that we have all the conceptual stuff laid down  we can start have some fun with finding limits of various functions. Some of these limits don't want you to find them so fast  but we're sure you'll get them in the end!
Infinite limits,AP Calculus BC,x155ca370,https://www.khanacademy.org/math/ap-calculus-bc/infinite-limits-bc,infinite-limits-bc,Basically  a limit must be at a specific point and have a specific value in order to be defined. Nevertheless  there are two kinds of limits that break these rules. One kind is unbounded limits -- limits that approach ± infinity (you may know them as "vertical asymptotes"). The other kind is limits at infinity -- these limits describe the value a function is approaching as x goes to ± infinity (you may know them as "horizontal asymptotes").
Derivative introduction,AP Calculus BC,x5f60c8ad,https://www.khanacademy.org/math/ap-calculus-bc/derivative-introduction-bc,derivative-introduction-bc,Get comfortable with the big idea of differential calculus  the derivative. The derivative of a function has many different interpretations and they are all very useful when dealing with differential calculus problems. This topic covers all of those interpretations  including the formal definition of the derivative and the notion of differentiable functions.
Basic differentiation,AP Calculus BC,xa06d9013,https://www.khanacademy.org/math/ap-calculus-bc/basic-differentiation-bc,basic-differentiation-bc,Differentiating functions is not an easy task! Make your first steps in this vast and rich world with some of the most basic differentiation rules  including the Power rule. It will surely make you feel more powerful.
Product quotient & chain rules,AP Calculus BC,x88eba4c6,https://www.khanacademy.org/math/ap-calculus-bc/product-quotient-chain-rules-bc,product-quotient-chain-rules-bc,Covered basic differentiation? Great! Now let's take things to the next level. In this topic  you will learn general rules that tell us how to differentiate products of functions  quotients of functions  and composite functions. Anxious to find the derivative of eˣ⋅sin(x²)? You've come to the right place.
Differentiating common functions,AP Calculus BC,x78ae34d2,https://www.khanacademy.org/math/ap-calculus-bc/differentiating-common-functions-bc,differentiating-common-functions-bc,Now that you know all the important differentiation rules  let's solve some problems that involve the differentiation of various common functions.
Advanced differentiation,AP Calculus BC,xd466a72b,https://www.khanacademy.org/math/ap-calculus-bc/advanced-differentiation-bc,advanced-differentiation-bc,The chain rule sets the stage for implicit differentiation  which in turn allows us to differentiate inverse functions (and specifically the inverse trigonometric functions). This is really the top of the line when it comes to differentiation.
Analyzing functions with calculus,AP Calculus BC,xa652c8ac,https://www.khanacademy.org/math/ap-calculus-bc/analyzing-functions-with-calculus-bc,analyzing-functions-with-calculus-bc,Let's put all of our differentiation abilities to use  by analyzing the graphs of various functions. As you will see  the derivative and the second derivative of a function can tell us a lot about the function's graph.
Derivative applications,AP Calculus BC,xabae1ae4,https://www.khanacademy.org/math/ap-calculus-bc/derivative-applications-bc,derivative-applications-bc,Solve real world problems (and some pretty elaborate mathematical problems) using the power of differential calculus.
Indefinite integrals,AP Calculus BC,xdb01d6b9,https://www.khanacademy.org/math/ap-calculus-bc/indefinite-integrals-bc,indefinite-integrals-bc,If f is the derivative of F  then F is an antiderivative of f. We also call F the "indefinite integral" of f. In other words  indefinite integrals and antiderivatives are  essentially  reverse derivatives. Why differentiate in reverse? Good question! Keep going and you'll find out!
Definite integrals introduction,AP Calculus BC,x4f60c4cf,https://www.khanacademy.org/math/ap-calculus-bc/definite-integrals-intro-bc,definite-integrals-intro-bc,Definite integrals are a way to describe the area under a curve. Make introduction with this intriguing concept  along with its elaborate notation and various properties.
Riemann sums,AP Calculus BC,x94dfd71d,https://www.khanacademy.org/math/ap-calculus-bc/riemann-sums-bc,riemann-sums-bc,Riemann sums is the name of a family of methods we can use to approximate the area under a curve. Through Riemann sums we come up with a formal definition for the definite integral.
Fundamental theorem of calculus,AP Calculus BC,x793037d5,https://www.khanacademy.org/math/ap-calculus-bc/fundamental-theorem-of-calculus-bc,fundamental-theorem-of-calculus-bc,So you've learned about indefinite integrals and you've learned about definite integrals. Have you wondered what's the connection between these two concepts? You will get all the answers right here. Beware  this is pretty mind-blowing.
Definite integral evaluation,AP Calculus BC,xafb67134,https://www.khanacademy.org/math/ap-calculus-bc/definite-integral-evaluation-bc,definite-integral-evaluation-bc,Make your first steps in evaluating definite integrals  armed with the Fundamental theorem of calculus.
Integration techniques,AP Calculus BC,x441eb506,https://www.khanacademy.org/math/ap-calculus-bc/integration-techniques-bc,integration-techniques-bc,Some functions don't make it easy to find their integrals  but we are not ones to give up so fast! Learn some advanced tools for integrating the more troublesome functions.
Area & arc length using calculus,AP Calculus BC,x317465a3,https://www.khanacademy.org/math/ap-calculus-bc/area-and-arc-length-bc,area-and-arc-length-bc,Become a professional area-under-curve finder! You will also learn here how integrals can be used to find lengths of curves. The tools of calculus are so versatile!
Integration applications,AP Calculus BC,xe7aa2764,https://www.khanacademy.org/math/ap-calculus-bc/integration-applications-bc,integration-applications-bc,As with derivatives  solve some real world problems and mathematical problems using the power of integral calculus.
